,Unnamed: 0,post_id,title,agency_id,post_url,category_id,image_url,contents,published_date_and_time,author_name,main_category_id,sub_category_id,media_type,slug,urgency,source_id,status,created_at,updated_at,deleted_at,tweet_created_at,tweet_text,tweet_id,vdo_title,vdo_description,vdo_published_at,vdo_thumbnail,vdo_url,active_id,trending_count
17,27,41,الجهاز يبحث آخر مستجدات مشروع شبكة سكك الحديد,جهاز متابعة الأداء الحكومي,https://www.gpf.gov.kw/Ar/newsdetails.aspx?id=2065 &action=3.2,local news,https://controlpanel.gpf.gov.kw/Uploads/News/2065_NewsAlbum_36f8b914-5be6-41e1-9a7d-f8de753de239.jpg," 
                            


                        


                            
                                    


                                        


                                            


                                                


                                            


                                        


                                    


                                
                        


	ترأس معالي الشيخ/ أحمد مشعل الأحمد الصباح رئيس جهاز متابعة الأداء الحكومي اجتماعاً مع المختصين في الهيئة العامة للطرق والنقل البري لمتابعة آخر مستجدات مشروع شبكة سكك الحديد.


	 


	و قد تم تقديم عرض مرئي إلى الجهاز يوضح أبرز المستجدات عن المشروع.


	 


	وأكد معالي الشيخ أحمد المشعل على أن الجهاز على أتم الاستعداد لتذليل الصعوبات والعقبات التي قد يواجهها تنفيذ المشروع.


                            


                            


                            


                            


                            


                                


                            


                        ",2022-05-16T00:00:00,government performance follow up,2,3,text,الجهاز-يبحث-خر-مستجدات-مشروع-شبكة-سكك-الحديد,Low,1,1,2022-11-07 18:04:03,2022-11-08 08:55:02,,,,,,,,,,,
65,185,206,الشيخ أحمد المشعل رئيس الجهاز يقدم الى مجلس الوزراء توصيات للارتقاء بمستوى الأداء الحكومي,جهاز متابعة الأداء الحكومي,https://www.gpf.gov.kw/Ar/newsdetails.aspx?id=2062 &action=3.2,local news,https://controlpanel.gpf.gov.kw/Uploads/News/2062_NewsAlbum_8d171ebc-f765-495a-b47c-869dfe40dc8d.jpg," 
                            


                        


                            
                                    


                                        


                                            


                                                


                                            


                                        


                                    


                                
                        


	استمع مجلس الوزراء إلى شرح قدمه الشيخ/ أحمد مشعل الأحمد الصباح رئيس جهاز متابعة الأداء الحكومي وعدد من قياديي الجهاز، والذي تضمن بعض التوصيات التي قدمها الجهاز والتي من شأنها تحسن الأداء الحكومي ومقترحات بشأن وضع مؤشرات قياس متابعة الأداء ومحاسبة المقصرين


	 


	وقد أشاد مجلس الوزراء بهذه المقترحات، وقرر المجلس تكليف الجهاز بالتنسيق مع الجهات ذات العلاقة بوضع آلية تنفيذية لتلك المقترحات وموافاة مجلس الوزراء بتقرير مفصل بهذا الشأن


                            


                            


                            


                            


                            


                                


                            


                        ",2022-03-24T00:00:00,government performance follow up,2,3,text,الشيخ-حمد-المشعل-ر-يس-الجهاز-يقدم-الى-مجلس-الوزرا-توصيات-للارتقا-بمستوى-ال-دا-الحكومي,Low,1,1,2022-11-07 18:04:03,2022-11-08 08:55:04,,,,,,,,,,,
190,593,625,«التشريعية» تناقش رفع الحصانة عن النائب مهند الساير ومجموعة من الاقتراحات بقوانين,جريدة الإستقلال الإلكترونية,https://istqlalnews.com/?p=14367,National Assembly News,https://istqlalnews.com/wp-content/uploads/2022/01/f6bd8d87-d931-45dd-9c62-b5252edafefb-780x470.jpg,"تعقد لجنتان برلمانيتان اجتماعين اليوم الإثنين لمناقشة الموضوعات المدرجة على جدول أعمالهما وتكليفات المجلس لهما.

وتناقش لجنة الشؤون التشريعية والقانونية طلب رفع الحصانة النيابية عن العضو مهند طلال الساير في القضية رقم (١٧٥ / ٢٠٢١) تمييز الجنح المستأنفة/١، كما تناقش اللجنة مجموعة من الاقتراحات بقوانين.

وتبحث لجنة الشؤون الخارجية الموضوعات المدرجة على جدول أعمالها، كما تعقد لقاء مع سفير الإتحاد الأوروبي لدى دولة الكويت د. كريستيان تودور.",2022-01-03T00:00:00,admin,1,2,text,التشريعية-تناقش-رفع-الحصانة-عن-النا-ب-مهند-الساير-ومجموعة-من-الاقتراحات-بقوانين,Very Low,1,1,2022-11-07 18:04:03,2022-11-08 08:55:08,,,,,,,,,,,
254,616,649,إصابة شخصين بمشاجرة سداسية في مستشفى الجهراء,جرائم ومحاكم,https://www.cckwt.cc/%d8%a3%d9%85%d9%86/%d8%a5%d8%b5%d8%a7%d8%a8%d8%a9-%d8%b4%d8%ae%d8%b5%d9%8a%d9%86-%d8%a8%d9%85%d8%b4%d8%a7%d8%ac%d8%b1%d8%a9-%d8%b3%d8%af%d8%a7%d8%b3%d9%8a%d8%a9-%d9%81%d9%8a-%d9%85%d8%b3%d8%aa%d8%b4%d9%81%d9%89-%d8%a7/,Legal and security news,https://www.cckwt.cc/wp-content/uploads/2022/11/مشاجرة-تبادل-ضرب-مستشفى-الجهراء2-660x330.png,"أصيب شخصان بجروح متوسطة جراء مشاجرة وقعت فجر اليوم بين ستة أشخاص مقابل مستشفى الجهراء وانتقلت إلى داخله.

وذكر مصدر بأنه يجري ضبط 4 متشاجرين هربوا بمركبة تم التقاط رقم لوحتها، كما يجري التعرف على سبب المشاجرة التي استخدمت فيها آلات حادة.

وأشار المصدر إلى أن النقطة الأمنية في المستشفى طلب تعزيزا أمنيا للتعامل مع المشاجرة، حيث قام باتخاذ اللازم فور وصوله.

 

 ",2022-11-03T00:00:00,cckwt,1,2,text,صابة-شخصين-بمشاجرة-سداسية-في-مستشفى-الجهرا,High,1,1,2022-11-07 18:04:03,2022-11-08 08:55:08,,,,,,,,,,,
283,1011,1058,"وافدان إلى الإبعاد .. لتجولهما ببندقيتين هوائيتين.. أبعدت وزارة الداخلية، إداريا، وافدين عربيين تجولا بسلاحين هوائيين في منطقة أبو حليفة. وذكر بيان لوزارة الداخلية أن الأجهزة الأمنية المختصة ضبطت شخصين من إحدى الجنسيات العربية تم تداول مقطع فيديو لهما أثناء تجولهما بسلاحين هوائيين بمنطقة ابو حليفة.
",‏اخبار الرقيب نيوز,https://www.alraqeeb.news/810,Legal and security news,https://www.alraqeeb.news/wp-content/uploads/2019/04/27894209_152725368746074_9016357701269061632_n.jpg,"وأكدت الإدارة العامة للعلاقات والإعلام الأمني أن القطاعات الأمنية ستتصدى وبكل حزم وشدة لأي مخالفة للقانون وتبذل الجهود اللازمة لضبط المخالفين والمطلوبين.

			
		",2019-04-24T00:00:00,AlraqeebNews,1,2,text,وافدان-لى-ال-بعاد-لتجولهما-ببندقيتين-هوا-يتين-بعدت-وزارة-الداخلية-داريا-وافدين-عربيين-تجولا-بسلاحين-هوا-يين-في-منطقة-بو-حليفة-وذكر-بيان-لوزارة-الداخلية-ن-ال-جهزة-ال-منية-المختصة-ضبطت-شخصين-من-حدى-الجنسيات-العربية-تم-تداول-مقطع-فيديو-لهما-ثنا-تجولهما-بسلاحين-هوا-يين-بمنطقة-ابو-حليفة,Low,1,1,2022-11-07 18:04:03,2022-11-08 08:55:12,,,,,,,,,,,
298,1121,1173,الداخلية: ضبط مركبة قام قائدها بأعمال الإستهتار والرعونة معرضاً حياته وحياة الأخرين للخطر,جريدة الحقيقة,http://www.alhakea.com/word/?p=420614,Legal and security news,https://i0.wp.com/www.alhakea.com/word/wp-content/uploads/2022/11/moi-car-780x470-1.jpg?resize=620%2C330,قالت الإدارة العامة للعلاقات والإعلام الأمني بوزارة الداخلية أن قطاع المرور والعمليات تمكن على الفور من ضبط مركبة قام قائدها بأعمال الإستهتار والرعونة معرضاً حياته وحياة الأخرين للخطر، وتم تحرير عدة مخالفات بحقه وحجز مركبته بكراج حجز المرور واتخاذ اللازم بحقه.,2022-11-05T00:00:00,ALHAKEA ,1,1,text,الداخلية-ضبط-مركبة-قام-قا-دها-ب-عمال-ال-ستهتار-والرعونة-معرضا-حياته-وحياة-ال-خرين-للخطر,Low,1,1,2022-11-07 18:04:03,2022-11-08 08:55:13,,,,,,,,,,,
378,605,637,سعر برميل النفط الكويتي يرتفع 2.46 دولار ليبلغ 96.27 دولار,كويت تايمز,https://q8times.com/284094.html,Economic news,https://q8times.com/wp-content/uploads/2022/11/1311656-300x198.jpg,"ارتفع سعر برميل النفط الكويتي 46ر2 دولار ليبلغ 27ر96 دولار للبرميل في تداولات يوم أمس الجمعة مقابل 81ر93 دولار للبرميل في تداولات يوم أمس الأول وفقا للسعر المعلن من مؤسسة البترول الكويتية.

 وفي الاسواق العالمية ارتفعت العقود الآجلة لخام برنت 99ر3 دولار لتبلغ 57ر98 دولار للبرميل في حين ارتفعت العقود الآجلة لخام غرب تكساس الوسيط الأمريكي 96ر2 دولار لتبلغ 61ر92 دولار.",2022-11-07T18:12:16,q8times,1,2,text,سعر-برميل-النفط-الكويتي-يرتفع-2-46-دولار-ليبلغ-96-27-دولار,High,1,1,2022-11-07 18:04:03,2022-11-08 08:55:08,,,,,,,,,,,
391,690,725,سعر برميل النفط الكويتي ينخفض 1.24 دولار ليبلغ 93.81 دولار,برس نيوز,https://pressnewskw.com/28655/,Economic news,"data:image/svg+xml;base64,PHN2ZyB4bWxucz0iaHR0cDovL3d3dy53My5vcmcvMjAwMC9zdmciIHdpZHRoPSI2NDAiIGhlaWdodD0iNDAwIiB2aWV3Qm94PSIwIDAgNjQwIDQwMCI+PHJlY3Qgd2lkdGg9IjEwMCUiIGhlaWdodD0iMTAwJSIgc3R5bGU9ImZpbGw6I2NmZDRkYjtmaWxsLW9wYWNpdHk6IDAuMTsiLz48L3N2Zz4=","انخفض سعر برميل النفط الكويتي 1.24 دولار ليبلغ 93.81 دولار للبرميل في تداولات يوم أمس مقابل 95.05 دولار للبرميل في تداولات أول من أمس، وفقا للسعر المعلن من مؤسسة البترول الكويتية.

وفي الأسواق العالمية انخفضت العقود الآجلة لخام برنت 1.49 دولار لتبلغ عند التسوية 94.67 دولار للبرميل، في حين انخفض خام غرب تكساس الوسيط الأميركي 1.83 دولار ليبلغ 88.17 دولار.",2022-11-04T00:00:00,apressnews,1,2,text,سعر-برميل-النفط-الكويتي-ينخفض-1-24-دولار-ليبلغ-93-81-دولار,Low,1,1,2022-11-07 18:04:03,2022-11-08 08:55:09,,,,,,,,,,,
514,217,239,نوال الكويتية أول فنانة عربية يتم إختارها سفيرة  لـ “سپوتيفاي إيكوال ” وصورها بـ نيويورك في التايمز سكوير”,فن ون,http://fn1q8.com/?p=53370,Art and culture news,http://fn1q8.com/wp-content/uploads/2022/09/نوال-الكويتية-أول-فنانة-عربية-تكون-سفيرة-لمنصة-سوبتفاي.jpg,"سعيدة جدًا بإختياري سفيرة لإكوال سبوتيفاي لشهر يوليو, كونها مساحة مخصصة لتسليط الضوء على الفنانات العربيات وموسيقاهن الرائعة والملهمة، والتي أتمنى أن تصل لكل المستمعين في العالم

المرأة بطبيعة الحال قوية ورقيقة, شغوفة ومبدعة كنت وسأستمر دائمًا بدعم وتمكين المرأة في شتى المجالات. 

— نوال الكويتية (@NAWALalq8iya) ",2022-09-01T00:00:00,مجلة فن ون ,1,2,text,نوال-الكويتية-ول-فنانة-عربية-يتم-ختارها-سفيرة-لـ-س-وتيفاي-يكوال-وصورها-بـ-نيويورك-في-التايمز-سكوير,Low,1,1,2022-11-07 18:04:03,2022-11-08 08:55:04,,,,,,,,,,,
538,480,509,ترشيح الفنانة الكويتية القديرة سعاد عبدالله لجائزة النيل للمبدعين العرب,فن ون,http://fn1q8.com/?p=53681,Art and culture news,http://fn1q8.com/wp-content/uploads/2022/10/ترشيح-سعاد-عبدالله-لجائزة-النيل-للمبدعين-العرب.jpg,"كشف نقيب المهن التمثيلية في مصر الفنان د. أشرف زكي الغطاء عن ترشيحات النقابة لجوائز الدولة لعام 2023، مشيراً إلى ترشيح الفنانة القديرة سعاد عبدالله لجائزة النيل للمبدعين العرب، بينما تم ترشيح الفنان يحيى الفخرانى لجائزة النيل فى الفنون.

كما رُشحت مهندسة الديكور نهى برادة، والتي قدمت ديكور مسرحية «مدرسة المشاغبين» لجائزة الدولة التقديرية.

أما جائزة الدولة فى التفوق، فرشحت النقابة رئيس قسم الدراما والنقد بمعهد الفنون المسرحية الدكتور مصطفى سليم.",2022-10-06T00:00:00,مجلة فن ون ,1,2,text,ترشيح-الفنانة-الكويتية-القديرة-سعاد-عبدالله-لجا-زة-النيل-للمبدعين-العرب,Low,1,1,2022-11-07 18:04:03,2022-11-08 08:55:07,,,,,,,,,,,
596,2153,2270,تزكية مجلس إدارة المسرح الشعبي,الشاهد,http://alshahedkw.com/339568,Art and culture news,,"تم اليوم الأحد الموافق 22/5/2022 انعقاد الجمعية العمومية لفرقة المسرح الشعبي وتم من خلالها التصديق على التقريرين الإداري والمالي والتجديد لمكتب تدقيق الحسابات وتزكية مجلس الإدارة وهم السادة الاتي اسماؤهم:-

-الدكتور نبيل الفيلكاوي

-الاستاذ حسين المفيدي

-المخرج على البلوشي

-الاستاذ نوح بوكبر

-الفنانه فاطمه الطباخ

حيث تتطرق السادة اعضاء مجلس الإدارة بعد انتهاء الجمعية العمومية مباشرة لانعقاد اجتماع جلسة رقم (1) لتوزيع المناصب على النحو التالي:-

– الدكتور نبيل الفيلكاوي  – رئيس مجلس الإدارة

-الاستاذ حسين المفيدي – نائب رئيس مجلس الإدارة

-الاستاذ نوح بوكبر – المدير المالي

-المخرج علي البلوشي – امين السر العام

-الفنانه فاطمه الطباخ – مدير العلاقات العامة",2022-05-22T00:00:00,عبدالعزيز خريبط,1,1,text,تزكية-مجلس-دارة-المسرح-الشعبي,Very Low,1,1,2022-11-07 18:04:03,2022-11-08 08:55:25,,,,,,,,,,,
730,5939,7862,المؤتمر الصحفي الذي عقد اليوم للنواب عمرالطبطبائي – عبدالوهاب البابطين – ثامرالسويط – مبارك الحجرف خالد العتيبي والذي بين الاجراءات الدستورية و اللائحية بقضيتي العفو و عضوية الحربش والطبطبائي,الحرير نيوز,http://alhrernews.com/archives/4795,"News, meetings, programs and reports",,,2018-09-25T00:00:00,alhrer news,1,2,text,الم-تمر-الصحفي-الذي-عقد-اليوم-للنواب-عمرالطبطبا-ي-عبدالوهاب-البابطين-ثامرالسويط-مبارك-الحجرف-خالد-العتيبي-والذي-بين-الاجرا-ات-الدستورية-و-اللا-حية-بقضيتي-العفو-و-عضوية-الحربش-والطبطبا-ي,Low,1,0,2022-11-07 18:04:02,2022-11-07 18:04:02,,,,,,,,,,,
850,11816,13739,محليات / النواف للحرس الوطني.. و البيدان لهيئة الرياضة ,الوسط,http://www.alwasat.com.kw/ArticleDetail.aspx?id=142333,Local and international news,http://www.alwasat.com.kw/ArticleImages/45124 - copyvfnpaxuvkmfpkxupitvwoxxm.jpg,"عقد مجلس الوزراء اجتماعه الأسبوعي امس برئاسة رئيس الوزراء سمو الشيخ أحمد النواف ، وحضور جميع الوزراء واستعرض وزير المالية عبدالوهاب الرشيد، برنامج عمل الحكومة

كما وافق المجلس خلال اجتماعه على تعيين الفريق أول متقاعد الشيخ فيصل نواف الأحمد الجابرالصباح نائباً لرئيس الحرس الوطني بدرجة وزير ويوسف البيدان مديراً عاماً للهيئة العامة للرياضة، و تعيين عبير عبداللطيف الفارس وكيلة لديوان الخدمة المدنية.

واعتمد المجلس تعيين المهندسة مي المسعد وكيلةً لوزارة الأشغال. وتعيين عيد الرشيدي وكيلاً مساعداً في وزارة الأشغال.",2022-08-11T07:58:00,,1,1,text,محليات-النواف-للحرس-الوطني-و-البيدان-لهي-ة-الرياضة,Very High,1,1,2022-11-07 20:04:03,2022-11-08 08:57:13,,,,,,,,,,,
862,15075,17607,سعر برميل النفط الكويتي يرتفع 72 سنتا ليبلغ 99ر96 دولارا                                                                                                                                                                                                  ,كونا - وكالة الانباء الكويتية,https://www.kuna.net.kw/ArticleDetails.aspx?id=3066922&Language=ar,Local and international news,https://www.kuna.net.kw/NewsPictures/2022/11/8/3f4a89f9-4562-4372-8ef6-dd7d77b5328e.jpg,                الكويت - 8 - 11 (كونا) -- ارتفع سعر برميل النفط الكويتي 72 سنتا ليبلغ 99ر96 دولارا للبرميل في تداولات يوم أمس الإثنين مقابل 27ر96 دولارا للبرميل في تداولات يوم الجمعة الماضي وفقا للسعر المعلن من مؤسسة البترول الكويتية.وفي الأسواق العالمية انخفضت العقود الآجلة لخام برنت 65 سنتا لتبلغ عند التسوية 92ر97 دولارا للبرميل في حين انخفض خام غرب تكساس الوسيط الأمريكي 82 سنتا ليبلغ 79ر91 دولارا. (النهاية)خ م / ت ب                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        ,2022-08-11T00:00:00,KUNA,2,3,text,سعر-برميل-النفط-الكويتي-يرتفع-72-سنتا-ليبلغ-99ر96-دولارا,Very High,1,1,2022-11-08 06:04:03,2022-11-08 08:57:51,,,,,,,,,,,
890,15277,18733,وزير شؤون الديوان الأميري يستقبل مدير أرشيف الدولة في رئاسة الجمهورية التركية                                                                                                                                                                             ,كونا - وكالة الانباء الكويتية,https://www.kuna.net.kw/ArticleDetails.aspx?id=3066968&Language=ar,Local and international news,,                الكويت - 8 - 11 (كونا) -- استقبل وزير شؤون الديوان الأميري الشيخ محمد عبدالله المبارك الصباح في مكتبه بقصر بيان صباح اليوم مدير أرشيف الدولة في رئاسة الجمهورية التركية الأستاذ الدكتور أغور اونال والوفد المرافق وذلك بمناسبة زيارته للبلاد.هذا وقد تم خلال اللقاء تبادل المواضيع ذات الاهتمام المشترك التي تعكس عمق العلاقات التاريخية الراسخة بين البلدين والشعبين الصديقين. (النهاية) أ م ح                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         ,2022-08-11T00:00:00,KUNA,2,3,text,وزير-ش-ون-الديوان-ال-ميري-يستقبل-مدير-رشيف-الدولة-في-ر-اسة-الجمهورية-التركية,Very High,1,1,2022-11-08 12:04:03,2022-11-10 07:45:46,,,,,,,,,,,
1015,1906,2003,“طلبة بريطانيا “يحدد الموعد النهائي للترشح لإنتخابات الهيئة الإدارية,جريدة تعليم الالكترونية,https://taleem.com.kw/2022/09/16/%d8%b7%d9%84%d8%a8%d8%a9-%d8%a8%d8%b1%d9%8a%d8%b7%d8%a7%d9%86%d9%8a%d8%a7-%d9%8a%d8%ad%d8%af%d8%af-%d8%a7%d9%84%d9%85%d9%88%d8%b9%d8%af-%d8%a7%d9%84%d9%86%d9%87%d8%a7%d8%a6%d9%8a-%d9%84%d9%84/,Education news,,"جريدة تعليم


أعلن الاتحاد الوطني لطلبة الكويت فرع المملكة المتحدة، فتح باب الترشح لانتخابات الهيئة الإدارية ولمقاعد وفد المؤتمر للعام النقابي 2022-2023 حتى 19 سبتمبر الجاري.

وقال الاتحاد، في بيان صحافي، أمس، إن مقاعد المؤتمر في هذه الدورة ستكون 10، مشيراً إلى أن موعد الانتخابات يوم السبت الموافق 22 أكتوبر المقبل.

ولفت الاتحاد إلى فتح باب التسجيل لعضوية الجمعية العمومية لعام 2022-2023 من خلال تسجيل نموذج الطالب في الرابط المخصص للتسجيل، متضمناً جميع المستندات المطلوبة، التي تستمر حتى 19 الجاري.",2022-09-16T00:00:00,taleem,1,2,text,طلبة-بريطانيا-يحدد-الموعد-النها-ي-للترشح-ل-نتخابات-الهي-ة-ال-دارية,Medium,1,1,2022-11-07 18:04:03,2022-11-08 08:55:22,,,,,,,,,,,
1104,1600,1676,الصينيون يحتفلون برأس السنة بالمطلاع …والغريب يهنئ الكويت,الشاهد,http://alshahedkw.com/194073,community and activities,,اعرب مدير عام شركة يونيفرسال رياض الغريب عن سعادته بنجاح سباق الماراثون الذي إقامته الشركة الصينية CGgc المسؤولة عن مشروع المطلاع وهنأ الكويت بحلول العام الميلادي الجديد 2019 كما اكد مدير مركز العمال والشؤون الخارجية عبد الله صالح ان مهرجان الماراثون الذي أقيم كان بمشاركة كل العمال ضمن الاحتفالات بالعام الجديد وتشجيع العمال على الاجادة والإسراع في إنهاء مشروع المطلاع وتقدم بالنيابة عن الشركة الصينية وكافة العاملين بتهنئة صاحب السمو امير الكويت وسمو ولي العهد وسمو رئيس مجلس الوزراء وشعب الكويت بحلول العام الجديد.,2019-03-01T00:00:00,محرر الشاهد الاكتروني,1,1,text,الصينيون-يحتفلون-بر-س-السنة-بالمطلاع-والغريب-يهن-الكويت,Very Low,1,1,2022-11-07 18:04:03,2022-11-08 08:55:19,,,,,,,,,,,
1113,1942,2041,وزيرة الشؤون الاجتماعية: الاهتمام والرعاية بذوي الاحتياجات الخاصة وتقديم كافة أوجه الدعم لهم,صحيفة الإرادة,https://alerada.net/2022/11/07/144550,community and activities,https://alerada.net/media/2022/11/01-3.jpg,"جاء ذلك في بيان صحفي اليوم الاثنين عقب اجتماع الوزيرة البغلي مع أعضاء الجمعية الكويتية لمتلازمة الداون بحضور الوكيل المساعد للتنمية الاجتماعية سالم الرشيدي.

ودعت الوزيرة وفق البيان إلى النظر بالمطالب والاحتياجات التي قدمها أعضاء الجمعية والتعامل معها وفق القانون والقرارات المنظمة مشيرة إلى أن الاجتماع ناقش عددا من القضايا التي تهم هذه الفئة. ",2022-11-07T00:00:00,alerada news,1,2,text,وزيرة-الش-ون-الاجتماعية-الاهتمام-والرعاية-بذوي-الاحتياجات-الخاصة-وتقديم-كافة-وجه-الدعم-لهم,Low,1,1,2022-11-07 18:04:02,2022-11-08 08:55:22,,,,,,,,,,,
1123,390,416,صدور مرسوم بتعيينهم بدرجة وكيل وزارة مساعد عمار الحسيني ومها الدعيج ودينا الغربللي نواباً لمدير جهاز تكنولوجيا المعلومات,الجهاز المركزي لتكنلوجيا المعلومات,https://www.cait.gov.kw/Home/News/اخبار-الكويت-صدور-مرسوم-بتعيينهم-بدرجة-وكيل-وزارة-.aspx,Technology News,https://www.cait.gov.kw/None,"صدر أمس مرسوم بتعيين نواب لمدير عام الجهاز المركزي لتكنولوجيا المعلومات وهم: د.عمار حسن أحمد الحسيني، مها راشد علي الدعيج، دينا عبد القادر الغربللي.

وجاء في المرسوم الذي حصلت «الأنباء» على نسخة منه: يعين نائبا لمدير عام الجهاز المركزي لتكنولوجيا المعلومات بدرجة وكيل وزارة مساعد كل من:







1 - 

الدكتور عمار حسن أحمد الحسيني. 







2 - 

مها راشد علي الدعيج.




3 - 

دينا عبد القادر الغربللي.",2019-09-22T00:00:00,central agency for information technology,2,3,text,صدور-مرسوم-بتعيينهم-بدرجة-وكيل-وزارة-مساعد-عمار-الحسيني-ومها-الدعيج-ودينا-الغربللي-نوابا-لمدير-جهاز-تكنولوجيا-المعلومات,Very Low,1,1,2022-11-07 18:04:03,2022-11-08 08:55:06,,,,,,,,,,,
